id,genre,title
80071348,Comedies,Kung Fu Panda 3
70270408,Comedies,We're the Millers
80194950,Comedies,Wine Country
80216541,Comedies,Leute kommen und gehen
60026148,Comedies,Johnny English
60034572,Comedies,Shrek 2
70113002,Comedies,The Hangover
60004479,Comedies,"Monsters, Inc."
80988892,Comedies,Next Gen
70060010,Comedies,Bee Movie
80239639,Comedies,Sierra Burgess Is a Loser
70077512,Comedies,The Game Plan
60029167,Comedies,Bad Boys II
70167075,Comedies,Friends with Benefits
510854,Comedies,The Flintstones
80166369,Adventures,Spider-Man: Homecoming
80993105,Adventures,Mowgli: Legend of the Jungle
80139562,Adventures,Kong: Skull Island
80093133,Adventures,Warcraft
80133493,Adventures,The Dark Tower
80156386,Adventures,Guardians of the Galaxy Vol. 2
70297757,Adventures,Godzilla
80149092,Adventures,Pirates of the Caribbean: Dead Men Tell No Tales
80075562,Adventures,Deadpool
80038359,Adventures,Mission: Impossible - Rogue Nation
70272768,Adventures,Türkisch für Anfänger
80144140,Adventures,King Arthur: Legend of the Sword
70293702,Adventures,The Amazing Spider-Man 2
70305903,Adventures,Interstellar
70047101,Adventures,Spider-Man 3
70108779,Adventures,2012
80084088,Adventures,Gods of Egypt
80025919,Adventures,Mad Max: Fury Road
70267241,Adventures,Pacific Rim
70217912,Adventures,Snow White & the Huntsman
70109892,Adventures,Avatar
382868,Adventures,Cliffhanger
60002360,Adventures,Jurassic Park
80190859,Adventures,Outlaw King
80094621,Adventures,Independence Day: Resurgence
80092417,Adventures,X-Men: Apocalypse
60001220,Adventures,Jaws
60010110,Adventures,Back to the Future
70120525,Adventures,Percy Jackson & the Olympians: The Lightning Thief
70115887,Adventures,Harry Potter and the Deathly Hallows: Part 1
70293461,Adventures,Divergent
80029196,Adventures,Jurassic World
80058399,Adventures,The Martian
70112729,Adventures,Year One
70217908,Adventures,Battleship
70103763,Adventures,Transformers: Revenge of the Fallen
70230088,Adventures,The Expendables 2
80052541,Adventures,The Last Witch Hunter
70124805,Adventures,Tron: Legacy
60024059,Adventures,Back to the Future Part III
70117698,Adventures,The Expendables
80039517,Adventures,The Ridiculous 6
20559714,Adventures,The Mummy
70237069,Adventures,Asterix bei den Olympischen Spielen
70173048,Adventures,Mission: Impossible - Ghost Protocol
60003016,Adventures,The Lost World: Jurassic Park
60004473,Adventures,Jurassic Park III
70178621,Adventures,Journey 2: The Mysterious Island
70230638,Adventures,The Bourne Legacy
60010111,Adventures,Back to the Future Part II
70298249,Adventures,X-Men: Days of Future Past
80017529,Adventures,In the Heart of the Sea
80081793,Adventures,Batman v Superman: Dawn of Justice
60034569,Adventures,Van Helsing
80085316,Adventures,The Huntsman: Winter's War
80067831,Adventures,The 5th Wave
70295061,Adventures,Noah
60022643,Adventures,The Scorpion King
80081226,Adventures,The Divergent Series: Allegiant - Part 1
70153859,Adventures,Transformers: Dark of the Moon
80049939,Adventures,Goosebumps
215318,Adventures,Ace Ventura: When Nature Calls
70060018,Adventures,"10,000 B.C."
80018211,Adventures,The Divergent Series: Insurgent
70138789,Adventures,Battle: Los Angeles
60020549,Adventures,The Mummy Returns
70269488,Adventures,300: Rise of an Empire
70242347,Adventures,Astérix & Obélix: Au service de sa Majesté
80064516,Adventures,The Revenant
60031274,Adventures,The Last Samurai
70153714,Adventures,Cowboys & Aliens
70021664,Adventures,King Kong
70084799,Adventures,Indiana Jones and the Kingdom of the Crystal Skull
70099790,Adventures,The Mummy: Tomb of the Dragon Emperor
70075064,Adventures,Into the Wild
80196789,Thrillers,Bird Box
80031611,Thrillers,Girlhouse
70265234,Thrillers,The Purge
80211638,Thrillers,The Perfection
80210932,Thrillers,22 July
70305893,Thrillers,Gone Girl
80991158,Thrillers,Parallelwelten
80091879,Thrillers,Hush
80216758,Thrillers,See You Yesterday
80093106,Thrillers,Der unsichtbare Gast
60021234,Thrillers,Training Day
80986885,Thrillers,Operation Finale
70131314,Thrillers,Inception
80239631,Thrillers,Looking Glass
70243464,Thrillers,Die Unfassbaren
70044686,Thrillers,Zodiac
80135164,Thrillers,1922
60001220,Thrillers,Jaws
80128722,Thrillers,Gerald's Game
70142827,Thrillers,Limitless
950149,Thrillers,Seven
70129581,Thrillers,The Experiment
70207663,Thrillers,The Girl with the Dragon Tattoo
80232501,Thrillers,Edge of Fear
902003,Thrillers,Reservoir Dogs
80188120,Thrillers,The Angel
286139,Thrillers,Basic Instinct
60001822,Thrillers,Hannibal
80099016,Thrillers,iBOY
80099204,Thrillers,The Bad Batch
80155475,Thrillers,Message from the King
80211593,Thrillers,Acrimony
70044689,Thrillers,The Departed
80217569,Thrillers,TAU
80007079,Thrillers,No Good Deed
70295171,Thrillers,Solace
70095139,Thrillers,Shutter Island
80177400,Thrillers,Cam
70130140,Thrillers,The Adjustment Bureau
70123922,Thrillers,The Roommate
80048977,Thrillers,The Invitation
80167647,Thrillers,Tu hijo – Sohn der Vergeltung
70035186,Thrillers,The Da Vinci Code
14546747,Thrillers,Silence of the Lambs
70113299,Thrillers,The Stepfather
80152434,Thrillers,The Outsider
70117925,Thrillers,Public Enemy No. 1 – Todestrieb
80049281,Thrillers,Secret in Their Eyes
70071613,Thrillers,No Country for Old Men
60000199,Thrillers,The Beach
70103523,Thrillers,Angels & Demons
80992769,Thrillers,Dark Crimes
80152156,Thrillers,Unforgettable
80050060,Thrillers,Bridge of Spies
80096955,Thrillers,Clinical
959008,Thrillers,The Shining
80029943,Thrillers,True Story
70117540,Thrillers,13
70111469,Thrillers,Obsessed
70035180,Thrillers,Match Point
80045505,Thrillers,The Visit
70274337,Thrillers,Gravity
80092885,Thrillers,ARQ
455956,Thrillers,Double Jeopardy
70102779,Thrillers,State of Play
60028468,Thrillers,Jaws 3
70139387,Thrillers,Unknown
80103311,Thrillers,El bar – Frühstück mit Leiche
80245041,Thrillers,Solo
80199689,Thrillers,Velvet Buzzsaw
70107140,Thrillers,Public Enemy No. 1 – Mordinstinkt
70243448,Thrillers,Seelen
873159,Thrillers,Primal Fear
80211749,Thrillers,Who Am I – Kein System ist sicher
81010699,Thrillers,Svaha: The Sixth Finger
80242926,Children & Family Movies,The Princess Switch
70184054,Children & Family Movies,Johnny English Reborn
70115629,Children & Family Movies,Despicable Me
70264803,Children & Family Movies,Despicable Me 2
80223928,Children & Family Movies,Malibu Rescue
80096067,Children & Family Movies,Ice Age: Collision Course
80091938,Children & Family Movies,The Angry Birds Movie
70220028,Children & Family Movies,Hotel Transylvania
